Image_ID,Modality,Model,Prompt,Dice,HD95,ASD
0,Color1_000220,Colour,ST-SAM,GT_Box,0.9391865134239197,2.739558696746826,0.4827025234699249
0,Color1_000220,Colour,ST-SAM,YOLO_Box,0.8322851061820984,80.71392822265625,10.141641616821289
0,Color1_000544,Colour,ST-SAM,GT_Box,0.9085268378257751,5.873213768005371,1.193932294845581
0,Color1_000544,Colour,ST-SAM,YOLO_Box,0.8700588345527649,47.853858947753906,1.1182376146316528
0,Color1_000819,Colour,ST-SAM,GT_Box,0.867132842540741,7.071067810058594,1.3105294704437256
0,Color1_000819,Colour,ST-SAM,YOLO_Box,0.8140691518783569,9.219544410705566,1.8306490182876587
0,Color1_000384,Colour,ST-SAM,GT_Box,0.9391473531723022,8.062257766723633,1.5244767665863037
0,Color1_000384,Colour,ST-SAM,YOLO_Box,0.905652642250061,21.447572708129883,3.431734085083008
0,Color1_000166,Colour,ST-SAM,GT_Box,0.9537261128425598,3.0,0.6911726593971252
0,Color1_000166,Colour,ST-SAM,YOLO_Box,0.9270734190940857,11.611125946044922,0.874257504940033
0,Color1_000345,Colour,ST-SAM,GT_Box,0.9181919097900391,3.0,0.9919994473457336
0,Color1_000345,Colour,ST-SAM,YOLO_Box,0.9143563508987427,6.081138610839844,0.9983893632888794
0,Color1_000183,Colour,ST-SAM,GT_Box,0.9309239983558655,5.656854152679443,0.6368525624275208
0,Color1_000183,Colour,ST-SAM,YOLO_Box,0.9080328941345215,9.339811325073242,1.6592490673065186
0,Color1_000148,Colour,ST-SAM,GT_Box,0.9361904263496399,4.0,1.2238092422485352
0,Color1_000148,Colour,ST-SAM,YOLO_Box,0.9243830442428589,11.22461223602295,2.31476092338562
0,Color1_000569,Colour,ST-SAM,GT_Box,0.9038281440734863,5.656854152679443,1.2886872291564941
0,Color1_000569,Colour,ST-SAM,YOLO_Box,0.8678499460220337,23.62077522277832,3.823362350463867
0,Color1_000194,Colour,ST-SAM,GT_Box,0.9104355573654175,5.0,1.1643266677856445
0,Color1_000194,Colour,ST-SAM,YOLO_Box,0.9023077487945557,5.099019527435303,1.1347042322158813
0,Color1_000053,Colour,ST-SAM,GT_Box,0.8765396475791931,9.0,1.6722248792648315
0,Color1_000053,Colour,ST-SAM,YOLO_Box,0.8215876817703247,35.02197265625,1.4360119104385376
0,Color1_000611,Colour,ST-SAM,GT_Box,0.9345040917396545,2.2360680103302,0.6693898439407349
0,Color1_000611,Colour,ST-SAM,YOLO_Box,0.9244036078453064,3.605551242828369,0.642110288143158
0,Color1_000449,Colour,ST-SAM,GT_Box,0.9228372573852539,8.473316192626953,2.2365846633911133
0,Color1_000449,Colour,ST-SAM,YOLO_Box,0.8683315515518188,31.098167419433594,2.472268581390381
0,Color1_000075,Colour,ST-SAM,GT_Box,0.9346804022789001,7.204093933105469,1.5016608238220215
0,Color1_000075,Colour,ST-SAM,YOLO_Box,0.8808771967887878,23.058469772338867,3.775543212890625
0,Color1_000430,Colour,ST-SAM,GT_Box,0.8817371129989624,8.5440034866333,2.0606279373168945
0,Color1_000430,Colour,ST-SAM,YOLO_Box,0.8341808319091797,16.76305389404297,2.382117509841919
0,Color1_000014,Colour,ST-SAM,GT_Box,0.9143274426460266,5.385164737701416,2.108043670654297
0,Color1_000014,Colour,ST-SAM,YOLO_Box,0.8251807689666748,69.0,8.480424880981445
0,Color1_000562,Colour,ST-SAM,GT_Box,0.9605793952941895,3.1622776985168457,0.9023045301437378
0,Color1_000562,Colour,ST-SAM,YOLO_Box,0.9477832913398743,5.0,1.4804812669754028
0,Color1_000477,Colour,ST-SAM,GT_Box,0.8820092678070068,18.28922462463379,3.929248332977295
0,Color1_000477,Colour,ST-SAM,YOLO_Box,0.885090708732605,25.39665985107422,3.9783310890197754
0,Color1_000158,Colour,ST-SAM,GT_Box,0.8806782960891724,4.4721360206604,1.2053755521774292
0,Color1_000158,Colour,ST-SAM,YOLO_Box,0.7991078495979309,58.18666076660156,7.191401958465576
0,Color1_000684,Colour,ST-SAM,GT_Box,0.9024972319602966,2.0,0.6937172412872314
0,Color1_000684,Colour,ST-SAM,YOLO_Box,0.8188228011131287,51.976470947265625,5.953871250152588
0,Color1_000018,Colour,ST-SAM,GT_Box,0.9528920650482178,2.2360680103302,0.7418609857559204
0,Color1_000018,Colour,ST-SAM,YOLO_Box,0.950864851474762,2.8284270763397217,0.7204881310462952
0,Color1_000554,Colour,ST-SAM,GT_Box,0.9394426941871643,3.0,0.7831849455833435
0,Color1_000554,Colour,ST-SAM,YOLO_Box,0.8485156297683716,66.21932983398438,10.235342025756836
