Fold,Model,Padding,Image_ID,Modality,Dice,HD95
0,ST-SAM,-5,Color1_000498,Colour,0.921891987323761,7.4982991218566895
0,ST-SAM,-5,Color1_000555,Colour,0.9138147830963135,6.0
0,ST-SAM,-5,Color1_000786,Colour,0.9281005263328552,8.5440034866333
0,ST-SAM,-5,Color1_000124,Colour,0.9288389682769775,5.084164142608643
0,ST-SAM,-5,Color1_000446,Colour,0.8927456140518188,11.609854698181152
0,ST-SAM,-5,Color1_000133,Colour,0.9016766548156738,6.780758857727051
0,ST-SAM,-5,Color1_000290,Colour,0.9256763458251953,14.866068840026855
0,ST-SAM,-5,Color1_000002,Colour,0.922225832939148,6.0
0,ST-SAM,-5,Color1_000039,Colour,0.9063507914543152,7.280109882354736
0,ST-SAM,-5,Color1_000648,Colour,0.9512588977813721,2.2360680103302
0,ST-SAM,-5,Color1_000752,Colour,0.928943395614624,5.385164737701416
0,ST-SAM,-5,Color1_000365,Colour,0.9308279156684875,8.5440034866333
0,ST-SAM,-5,Color1_000696,Colour,0.9584065675735474,12.625272750854492
0,ST-SAM,-5,Color1_000682,Colour,0.9529959559440613,7.0
0,ST-SAM,-5,Color1_000065,Colour,0.8691095113754272,6.0
0,ST-SAM,-5,Color1_000576,Colour,0.9467135667800903,4.0
0,ST-SAM,-5,Color1_000330,Colour,0.8683197498321533,11.401754379272461
0,ST-SAM,-5,Color1_000050,Colour,0.8999640345573425,7.071067810058594
0,ST-SAM,-5,Color1_000724,Colour,0.8825592994689941,11.401754379272461
0,ST-SAM,-5,Color1_000348,Colour,0.9398144483566284,3.605551242828369
0,ST-SAM,-5,Color1_000655,Colour,0.9361370801925659,3.1622776985168457
0,ST-SAM,-5,Color1_000271,Colour,0.9398884177207947,5.099019527435303
0,ST-SAM,-5,Color1_000048,Colour,0.8655560612678528,9.0
0,ST-SAM,-5,Color1_000688,Colour,0.9329599142074585,14.177264213562012
0,ST-SAM,-5,Color1_000347,Colour,0.9136157035827637,5.923915863037109
0,ST-SAM,-5,Color1_000358,Colour,0.9377621412277222,4.4721360206604
0,ST-SAM,-5,Color1_000389,Colour,0.9407400488853455,5.0
0,ST-SAM,-5,Color1_000301,Colour,0.9317182302474976,5.0
0,ST-SAM,-5,Color1_000201,Colour,0.8876793384552002,3.1622776985168457
0,ST-SAM,-5,Color1_000628,Colour,0.9398208260536194,5.656854152679443
0,ST-SAM,-5,Color1_000152,Colour,0.9466183185577393,5.932376384735107
0,ST-SAM,-5,Color1_000399,Colour,0.9098604917526245,3.0
0,ST-SAM,-5,Color1_000146,Colour,0.8567491769790649,8.0
0,ST-SAM,-5,Color1_000535,Colour,0.9417616724967957,2.8284270763397217
0,ST-SAM,-5,Color1_000584,Colour,0.8986745476722717,7.0
0,ST-SAM,-5,Color1_000486,Colour,0.9126763343811035,4.123105525970459
0,ST-SAM,-5,Color1_000422,Colour,0.9470813274383545,4.123105525970459
0,ST-SAM,-5,Color1_000371,Colour,0.9615250825881958,4.0
0,ST-SAM,-5,Color1_000630,Colour,0.9426437616348267,2.2360680103302
0,ST-SAM,-5,Color1_000818,Colour,0.929865300655365,10.0
0,ST-SAM,-5,Color1_000812,Colour,0.9262130856513977,11.045360565185547
0,ST-SAM,-5,Color1_000294,Colour,0.9376129508018494,8.485280990600586
0,ST-SAM,-5,Color1_000499,Colour,0.8807909488677979,6.252005577087402
0,ST-SAM,-5,Color1_000200,Colour,0.9469292163848877,6.082762718200684
0,ST-SAM,-5,Color1_000004,Colour,0.8929608464241028,4.973580837249756
0,ST-SAM,-5,Color1_000323,Colour,0.8752923011779785,12.0
0,ST-SAM,-5,Color1_000130,Colour,0.9405492544174194,5.099019527435303
0,ST-SAM,-5,Color1_000178,Colour,0.9159440398216248,12.041594505310059
